id,name,supported
1000,Console,0
1010,Console/NDS,0
1020,Console/PSP,0
1030,Console/Wii,0
1040,Console/XBox,0
1050,Console/XBox 360,0
1060,Console/Wiiware,0
1070,Console/XBox 360 DLC,0
2000,Movies,1
2010,Movies/Foreign,0
2020,Movies/Other,0
2030,Movies/SD,1
2040,Movies/HD,1
2045,Movies/UHD,1
2050,Movies/BluRay,0
2060,Movies/3D,1
3000,Audio,1
3010,Audio/MP3,0
3020,Audio/Video,0
3030,Audio/Audiobook,1
3040,Audio/Lossless,0
4000,PC,1
4010,PC/0day,0
4020,PC/ISO,0
4030,PC/Mac,0
4040,PC/Mobile-Other,0
4050,PC/Games,1
4060,PC/Mobile-iOS,0
4070,PC/Mobile-Android,0
5000,TV,1
5020,TV/Foreign,0
5030,TV/SD,1
5040,TV/HD,1
5045,TV/UHD,1
5050,TV/Other,0
5060,TV/Sport,0
5070,TV/Anime,0
5080,TV/Documentary,0
6000,XXX,1
6010,XXX/DVD,0
6020,XXX/WMV,0
6030,XXX/XviD,0
6040,XXX/x264,0
6050,XXX/Pack,0
6060,XXX/ImgSet,0
6070,XXX/Other,1
7000,Books,1
7010,Books/Mags,0
7020,Books/EBook,0
7030,Books/Comics,0
8000,Other,1
8010,Other/Misc,0
